url,chunk
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"Abstract Background Cold exposure has been considered an essential risk factor for the global disease burden, while its role in cardiovascular diseases is still underappreciated. The increase in frequency and duration of extreme cold weather events like cold spells makes it an urgent task to evaluate the effects of ambient cold on different types of cardiovascular disease and to understand the factors contributing to the population's vulnerability. Methods In the present systematic review and meta-analysis, we searched PubMed, Scopus, and Cochrane. We included original research that explored the association between cold exposure (low temperature and cold spell) and cardiovascular disease outcomes (mortality and morbidity). We did a random-effects meta-analysis to pool the relative risk (RR) of the association between a 1°C decrease in temperature or cold spells and cardiovascular disease outcomes."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"We included original research that explored the association between cold exposure (low temperature and cold spell) and cardiovascular disease outcomes (mortality and morbidity). We did a random-effects meta-analysis to pool the relative risk (RR) of the association between a 1°C decrease in temperature or cold spells and cardiovascular disease outcomes. Results In total, we included 159 studies in the meta-analysis. As a result, every 1°C decrease in temperature increased cardiovascular disease-related mortality by 1.6% (RR 1.016; [95% CI 1.015–1.018]) and morbidity by 1.2% (RR 1.012; [95% CI 1.010–1.014])."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"As a result, every 1°C decrease in temperature increased cardiovascular disease-related mortality by 1.6% (RR 1.016; [95% CI 1.015–1.018]) and morbidity by 1.2% (RR 1.012; [95% CI 1.010–1.014]). The most pronounced effects of low temperatures were observed in the mortality of coronary heart disease (RR 1.015; [95% CI 1.011–1.019]) and the morbidity of aortic aneurysm and dissection (RR 1.026; [95% CI 1.021–1.031]), while the effects were not significant in hypertensive disease outcomes. Notably, we identified climate zone, country income level and age as crucial influential factors in the impact of ambient cold exposure on cardiovascular disease."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"[95% CI 1.021–1.031]), while the effects were not significant in hypertensive disease outcomes. Notably, we identified climate zone, country income level and age as crucial influential factors in the impact of ambient cold exposure on cardiovascular disease. Moreover, the impact of cold spells on cardiovascular disease outcomes is significant, which increased mortality by 32.4% (RR 1.324; [95% CI 1.2341.421]) and morbidity by 13.8% (RR 1.138; [95% CI 1.015–1.276]). Conclusion Cold exposure could be a critical risk factor for cardiovascular diseases, and the cold effect varies between disease types and climate zones."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"[95% CI 1.2341.421]) and morbidity by 13.8% (RR 1.138; [95% CI 1.015–1.276]). Conclusion Cold exposure could be a critical risk factor for cardiovascular diseases, and the cold effect varies between disease types and climate zones. Systematic Review Registration https://www.crd.york.ac.uk/PROSPERO, identifier: CRD42022347247. Keywords: low temperature, cold spell, cardiovascular disease, meta-analysis, climate 1. Introduction Climate change has a significant impact on human health and has become a global health concern (1–3)."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"Keywords: low temperature, cold spell, cardiovascular disease, meta-analysis, climate 1. Introduction Climate change has a significant impact on human health and has become a global health concern (1–3). Global disease burden 2019 reported that non-optimal temperatures accounted for 1.01 million deaths in males and 0.946 million in females (1). Despite the long-term warming trends, there is an increase in the number, frequency, and duration of extreme weather events such as cold spells, which makes cold exposure a more significant threat (4, 5). It has been reported that for every 1°C temperature decrease below the reference point, the rate of non-accidental mortality increases by 4% (6)."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"Despite the long-term warming trends, there is an increase in the number, frequency, and duration of extreme weather events such as cold spells, which makes cold exposure a more significant threat (4, 5). It has been reported that for every 1°C temperature decrease below the reference point, the rate of non-accidental mortality increases by 4% (6). Therefore, it is crucial to clarify the impact of cold exposure on human health outcomes. Cardiovascular diseases (CVDs) are the leading cause of disease burden, accounting for nearly one-third of total deaths worldwide (1). In many countries, CVD mortality is higher in winter than in summer (7, 8)."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"Cardiovascular diseases (CVDs) are the leading cause of disease burden, accounting for nearly one-third of total deaths worldwide (1). In many countries, CVD mortality is higher in winter than in summer (7, 8). As reported, sudden exposure to low temperatures could disturb cardiovascular activity (9, 10). Cold exposure induces an increase in blood pressure and changes in blood components, which could induce disease conditions such as hypertension, myocardial infarction (MI), and atherosclerosis (7, 11, 12). This evidence suggests that cold exposure might be an essential risk factor for cardiovascular diseases and increase the health burden."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"Cold exposure induces an increase in blood pressure and changes in blood components, which could induce disease conditions such as hypertension, myocardial infarction (MI), and atherosclerosis (7, 11, 12). This evidence suggests that cold exposure might be an essential risk factor for cardiovascular diseases and increase the health burden. Considering the increasing intensity and frequency of cold surges and cold spells (4), it is vital to demonstrate the impact of cold exposure on cardiovascular diseases. Previous studies have reported a positive association between cold exposure and cardiovascular mortality and morbidity (6, 11, 13, 14). However, the extent of cold impact on cardiovascular health remains disputable."
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10083291/,"Previous studies have reported a positive association between cold exposure and cardiovascular mortality and morbidity (6, 11, 13, 14). However, the extent of cold impact on cardiovascular health remains disputable. Specifically, Ren et al. reported a 14.3% increase in cardiovascular mortality followed by every 1°C decrease in temperature (15), while Bai et al. found only a 1.1% increase (16). The wide variation between studies hinders a proper understanding of cold impact. More importantly, the influential factors that cause variations are worth investigating."
